                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3231,                0.85179,                 1.4494,                0.92168,                0.83416,                0.90308,                0.55668,                 1.2262,                0.67013,                 1.3841,             0.00032937,             0.00032937,             0.00032937
                      2,                 1.3638,                  0.892,                 1.4703,                0.89899,                0.82609,                 0.8876,                0.52255,                 1.3165,                0.79865,                 1.4438,             0.00064958,             0.00064958,             0.00064958
                      3,                 1.4108,                  0.933,                 1.4855,                 0.8925,                0.80563,                0.87576,                0.51226,                 1.3112,                0.81189,                 1.4535,             0.00095659,             0.00095659,             0.00095659
                      4,                 1.3973,                0.93754,                 1.4916,                0.88081,                0.80381,                0.87656,                0.50817,                 1.3474,                0.78174,                 1.4803,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.4276,                0.95658,                 1.5059,                0.88671,                0.80719,                0.87856,                 0.5264,                 1.3079,                0.76528,                 1.4535,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.4336,                0.95428,                 1.5064,                0.88965,                0.81844,                0.88483,                0.52631,                 1.3072,                 0.7603,                 1.4487,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.4324,                0.96075,                  1.515,                0.90299,                0.81368,                0.88327,                0.51924,                 1.3366,                0.77227,                 1.4628,               0.000901,               0.000901,               0.000901
                      8,                 1.4329,                0.95281,                 1.5104,                0.90772,                0.81757,                0.88901,                0.53336,                 1.3164,                0.75038,                 1.4507,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.3963,                0.92737,                 1.4835,                 0.8951,                0.82614,                0.88795,                0.53025,                 1.2944,                0.75123,                 1.4298,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.3898,                0.91195,                 1.4827,                0.91614,                0.81716,                0.89024,                0.53594,                 1.2921,                0.73231,                  1.441,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.4036,                0.92019,                 1.4923,                 0.9033,                0.81847,                0.88752,                0.52151,                 1.3122,                 0.7638,                 1.4508,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.3931,                0.91059,                 1.4755,                 0.8904,                0.80565,                0.87612,                0.51217,                 1.3379,                0.76629,                 1.4715,               0.000802,               0.000802,               0.000802
                     13,                 1.3948,                0.91041,                  1.478,                0.90406,                0.81542,                0.88785,                0.53273,                 1.3015,                0.74924,                 1.4375,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.3767,                0.90682,                 1.4654,                0.91223,                0.82497,                 0.8944,                0.54106,                  1.279,                0.72325,                 1.4249,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.4019,                0.90484,                 1.4802,                 0.9063,                0.83405,                 0.8954,                0.54251,                 1.2776,                 0.7017,                 1.4183,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.3911,                0.88752,                 1.4723,                0.91769,                0.82904,                0.89895,                0.54479,                 1.2669,                0.70789,                 1.4172,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.3697,                0.88741,                 1.4648,                0.90826,                0.83282,                0.89508,                0.54317,                 1.2576,                0.70607,                 1.4049,               0.000703,               0.000703,               0.000703
                     18,                 1.3616,                 0.8865,                 1.4594,                0.91359,                0.82492,                0.89483,                0.54725,                 1.2666,                0.69978,                  1.409,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.3751,                0.88405,                 1.4649,                0.92172,                0.83077,                0.90225,                0.54653,                 1.2706,                0.70017,                 1.4095,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.3731,                0.87032,                 1.4553,                0.91234,                0.83405,                0.89915,                0.54424,                 1.2744,                0.69487,                 1.4119,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.3482,                0.86193,                  1.451,                0.90615,                0.83782,                0.89734,                0.55138,                 1.2539,                0.69831,                 1.4024,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.3524,                0.86246,                 1.4495,                0.91317,                0.82536,                0.89957,                0.55302,                 1.2447,                0.68839,                 1.3991,               0.000604,               0.000604,               0.000604
                     23,                 1.3448,                0.85606,                 1.4498,                0.91125,                0.83832,                0.90249,                0.54971,                 1.2472,                0.68745,                 1.3935,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.3206,                0.83398,                 1.4202,                0.92035,                0.84307,                0.90603,                0.55904,                 1.2255,                0.67471,                 1.3771,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.3431,                0.86523,                 1.4413,                0.92025,                  0.842,                 0.9066,                0.55562,                 1.2333,                0.66923,                  1.386,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.3248,                0.84204,                  1.426,                0.91379,                0.83553,                0.90056,                0.55091,                 1.2532,                0.68512,                 1.3838,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.3302,                0.84015,                 1.4261,                0.92057,                0.85041,                0.91023,                0.55819,                 1.2157,                0.65118,                 1.3689,               0.000505,               0.000505,               0.000505
                     28,                 1.3075,                0.81658,                  1.416,                0.92049,                0.84667,                0.91006,                0.56364,                 1.2018,                0.65416,                 1.3588,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.3213,                0.82675,                 1.4139,                0.92749,                0.84646,                0.91239,                0.57213,                 1.2003,                0.64611,                 1.3568,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.3244,                0.83921,                 1.4215,                0.92601,                0.85301,                0.91606,                0.57698,                 1.1897,                0.63707,                 1.3571,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.2967,                 0.8157,                 1.4156,                0.93309,                0.85153,                0.91423,                0.57322,                 1.1863,                0.63496,                 1.3502,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.2893,                0.81418,                 1.4083,                0.93131,                0.84942,                0.91485,                0.57545,                 1.1869,                0.63103,                 1.3471,               0.000406,               0.000406,               0.000406
                     33,                 1.2956,                0.80636,                 1.4128,                0.92592,                0.85964,                0.91802,                0.58035,                 1.1728,                0.62769,                 1.3422,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.2983,                0.81914,                 1.4184,                0.93565,                0.84921,                0.91766,                0.57908,                 1.1806,                0.62735,                 1.3397,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.2843,                0.80413,                 1.3903,                 0.9295,                0.85366,                0.91707,                0.58462,                 1.1611,                0.61639,                 1.3329,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.2967,                0.80119,                  1.399,                0.93241,                 0.8562,                0.91954,                0.58517,                 1.1634,                0.61701,                 1.3289,              0.0003268,              0.0003268,              0.0003268
